,id,units_n,city,state,zipcode,tpop,con_type,sqft_rent,equity_net,totalcost,hardcost,sources_n,source1type,source1,source2type,source2,source3type,source3,source4type,source4,source5type,source5,source6type,source6,source7type,source7,source8type,source8,source9type,source9,source10type,source10,source11type,source11,loi_date,closedate,con_stdate,concomdate,stabdate,df,yr_pis
0,1,98,San Juan,PR,920,Elderly,New," 39,095 "," $11,759,150 "," $16,715,361 ",,4,LIHTC Equity," $11,759,150 ",City of San Juan," $1,665,000 ",Sponsor Loan (HOME)," $3,244,181 ",Deferred Fee," $47,030 ",,,,,,,,,,,,,,,,06/23/14,10/06/13,09/04/15,11/20/15,i,2015
1,2,100,Jacksonville,IL,62650,Elderly,Rehab-Around," 51,400 "," $4,283,134 "," $8,541,173 ",,8,USA Institutional Fund," $4,431,489 ",IHDA GO Loan," $1,575,000 ",IHDA HOME Funds," $1,340,000 ",LHD Trust Fund Loan," $280,594 ",GP Contribution (existing reserves)," $280,670 ",GP Contribution (energy grant)," $256,000 ",Income from Operations," $100,000 ",Deferred Developer Note," $277,420 ",,,,,,,,04/17/14,04/08/14,12/31/14,01/31/15,i,2014
2,3,80,Bronx,NY,10456,SRO,New," 21,730 "," $12,046,454 "," $22,461,237 ",,3,LIHTC Equity," $12,546,454 ",HPD," $8,800,000 ",Sponsor Loan," $1,114,783 ",,,,,,,,,,,,,,,,,,11/26/12,08/17/12,08/29/14,05/31/15,i,2014
3,4,136,San Diego,CA,92101,Family,New," 117,762 "," $25,026,397 "," $73,044,023 ",,8,Net Equity to Local," $26,457,076 ",1st Mortgage (Tax Exempt Bonds)," $3,010,000 ",MHP," $10,000,000 ",GP Land Contribution," $8,000,000 ",SVDP Capital Contribution (AHP)," $1,000,000 ",SVDP Capital Contribution (BPV)," $20,244,757 ",SVDP Capital Contribution," $3,082,190 ",Deferred Developer Fee," $1,250,000 ",,,,,,,,06/19/07,12/20/07,01/30/09,04/27/09,i,2009
4,5,65,New York,NY,10039,Elderly,New," 40,000 "," $8,016,542 "," $23,949,900 ",,5,LIHTC Equity," $8,278,200 ",HUD 202 via Lender Corp," $9,308,400 ",DHCR TCAP," $4,438,019 ",Federal Home Loan Bank via Lender Corp," $1,280,000 ","HUD Predevelopment, Home Depot, Enterprise, and NYSERDA via Lender Corp"," $645,281 ",,,,,,,,,,,,,,03/24/10,03/24/10,10/28/11,11/23/11,i,2011
5,6,27,New York,NY,10027,Family,New," 20,257 "," $4,632,399 "," $7,931,776 ",,4,Net Equity to Local Partnership," $4,632,399 ",Chase 1st Mortgage," $250,000 ",HDFC 421-a Loan," $2,556,250 ",Deferred Developers Fee," $493,127 ",,,,,,,,,,,,,,,,06/01/07,06/28/07,09/12/08,05/29/09,i,2008
6,7,90,Minneapolis,MN,55404,Family,Rehab-Around," 55,090 "," $2,366,577 "," $7,292,380 ",,11,Net Equity," $2,209,582 ",US Bank A Note Bonds," $1,438,495 ",US Bank B Note IRP Bonds," $949,600 ",US Bank C Note Bridge," $861,905 ",MHFA PARIF Loan - 2nd Mortgage," $450,000 ",City of Minneapolis - 3rd Mortgage," $300,000 ",VOA Hennepin County AHIF - 4th Mortgage," $400,000 ",VOU US Bank AHP  - 5th Mortgage," $500,000 ",Imputed Interest / Capitalized Expenses," $132,514 ",Interim Income," $50,001 ",Deferred Developer Fee, $283 ,,08/11/06,05/03/06,12/31/06,12/31/06,i,2006
7,8,44,New York,NY,10032,Family,New," 24,594 "," $5,665,251 "," $11,954,251 ",,3,Net Equity to Fund LIHTC," $6,174,251 ",HPD SHLP + City Capital," $5,280,000 ",Reso A," $500,000 ",,,,,,,,,,,,,,,,,,11/26/12,08/28/12,07/14/15,12/30/15,i,2015
8,9,46,Brooklyn,NY,11205,SRO,New," 25,302 "," $6,404,529 "," $12,696,794 ",,4,Net Equity to Fund LIHTC ," $6,404,529 ",HPD SHLP," $4,925,851 ",HPD SHLP (City Council + BP Reso A)," $750,000 ",Deferred Developer Fee," $616,414 ",,,,,,,,,,,,,,,,06/16/11,06/16/11,01/30/13,07/30/13,i,2013
9,10,24,San Diego,CA,92104,Family,New,," $3,682,916 "," $10,908,411 ",,8,Net Equity to Local," $3,702,236 ",1st Mortgage (MHP)," $2,081,535 ",2nd Mortgage (San Diego Redevelopment Agency)," $2,400,000 ",3rd Mortgage (San Diego Housing Commission)," $600,000 ",SVDP Capital Contribution (Affordable Housing Program)," $360,000 ",SVDP Capital Contribution," $154,640 ",SVDP Capital Contribution (HUD NOFA)," $400,000 ",GP Land Contribution," $1,210,000 ",,,,,,,,09/29/08,05/08/08,04/20/09,05/01/09,i,2009
10,11,227,Bronx,NY,10456,Family,New,," $23,218,771 "," $72,497,819 ",,6,Net Equity to Local Company," $23,218,771 ",HDC 1st Mortgage," $19,200,000 ",HDC 2nd Mortgage," $12,485,000 ",HDC 3rd ," $6,597,188 ",HPD 4th," $6,597,188 ",Deferred Developers Fee," $4,399,672 ",,,,,,,,,,,,03/31/08,04/17/08,03/03/11,09/23/11,i,2011
11,12,56,Bronx,NY,10048,Family,New,," $5,732,483 "," $14,693,183 ",,3,LIHTC Equity," $6,187,483 ",HPD Loan," $7,840,000 ",Sonsor Loan," $665,700 ",,,,,,,,,,,,,,,,,,06/26/09,10/22/09,08/31/11,04/18/12,i,2011
12,13,53,Los Angeles,CA,90057,Family,New,," $8,287,961 "," $25,155,663 ",,8,Net Equity to Fund," $8,341,086 ",CCRC (TE Bonds)," $2,700,000 ",TOD," $4,633,933 ",LAHD," $6,200,000 ",CRA Loan," $1,500,000 ",Capitalized Interest 2009 (LAHD/CRA)," $288,500 ",Capitalized Interest 2010 (LAHD/CRA)," $219,750 ",Deferred Developer Fee," $1,272,394 ",,,,,,,,12/16/08,12/22/08,10/20/10,12/31/10,i,2010
13,14,47,Brooklyn,NY,11208,Family,New," 24,175 "," $6,724,257 "," $15,710,117 ",,5,Net Equity to Local Partnership," $6,866,757 ",HPD SHLP," $6,580,000 ",NYC Mayoral Fund," $90,000 ",NYS HFA," $1,400,000 ",Deferred Developers Fee," $773,360 ",,,,,,,,,,,,,,11/24/08,12/09/08,10/25/10,12/29/10,i,2010
14,15,45,Los Angeles,CA,90044,Family,Rehab-Around," 33,431 "," $2,344,868 "," $8,960,837 ",,4,Net Equity to Fund," $2,344,868 ",Bank of America TE Bonds," $2,350,102 ",Century," $1,250,000 ",GP Equity," $3,015,867 ",,,,,,,,,,,,,,,,04/09/09,04/07/09,09/02/09,07/31/09,i,2009
15,16,24,Alpine ,WY,83128,Family,New," 22,328 "," $4,030,586 "," $4,870,121 ",,3,Federal Investor Net Equity ," $3,957,029 ",WDCA," $851,400 ",Deferred Developer Fee ," $61,692 ",,,,,,,,,,,,,,,,,,12/14/17,05/01/18,04/26/19,05/31/19,i,2019
16,17,44,Terra Alta,WV,26764,Family,Rehab-Around,," $2,371,714 "," $4,587,398 ",,5,Net Equity ," $2,371,714 ",RD ," $1,314,088 ",USDA 538 Loan," $700,000 ",Deferred Dev Fee ," $132,095 ",Existing Reserves ," $69,501 ",,,,,,,,,,,,,,01/22/18,01/22/18,10/29/18,07/01/18,i,2018
17,18,60,Vega Alta,PR,692,Family,Rehab-Around,," $8,911,242 "," $13,335,234 ",,3,LIHTC Equity ," $8,184,460 ",PRHFA," $2,350,000 ",HOME ," $2,800,774 ",,,,,,,,,,,,,,,,,,12/17/18,01/08/19,07/01/20,01/31/20,i,2020
18,19,112,El Paso,TX,79936,Family,New,," $7,073,861 "," $8,970,283 ",,3,Net Equity to Local," $6,471,523 ",1st Mortgage," $1,998,000 ",Deferred Developer Fee," $500,760 ",,,,,,,,,,,,,,,,,,08/12/05,08/22/05,04/15/06,12/31/06,i,2006
19,20,54,Hillsborough,NJ,8844,Family,New," 54,188 "," $11,500,685 "," $14,708,193 ",,4,Net Equity ," $11,475,251 ",1st Perm Loan," $2,160,000 ",AHTF," $928,000 ",Deferred Fee," $144,942 ",,,,,,,,,,,,,,,,12/06/16,12/05/16,01/23/18,04/30/18,i,2018
20,21,49,Anaheim,CA,92804,Family,New," 46,702 "," $9,122,762 "," $15,682,415 ",,5,Equity," $9,127,762 ",1st Mortgage Loan," $3,411,000 ",Dev Note," $665,000 ",County Loans," $2,456,886 ",TCAC Refund," $21,767 ",,,,,,,,,,,,,,04/03/08,04/03/08,01/13/09,05/22/09,i,2009
21,22,72,Gillette,WY,82718,Family,New," 77,800 "," $6,990,887 "," $11,025,887 ",,3,Net Equity to Local," $7,014,887 ",1st Mortgage (Citibank)," $2,826,000 ",2nd Mortgage (WCDA)," $1,185,000 ",,,,,,,,,,,,,,,,,,12/31/07,04/15/08,01/28/09,05/15/09,i,2009
22,23,64,Ayden,NC,28513,Elderly,New," 60,500 "," $4,782,102 "," $7,234,960 ",,8,Net Equity to Fund ," $4,782,102 ",CICCAR Loan ," $659,439 ",Deferred Developer Fee ," $166,162 ",RPP Loan ," $800,000 ",Contingent Dev Fee not in basis (a) ," $295,000 ",NC Workforce Loan ," $370,743 ",MM Cap Contribution (b) ," $114,418 ",Dev Advance (c) ," $47,096 ",,,,,,,,12/08/17,11/27/17,06/15/19,08/30/19,i,2019
23,24,60,Andrews,TX,79714,Family,New,," $6,599,340 "," $11,072,662 ",,3,Net Equity to Fund," $6,599,340 ",1st Mtg Loan - FA 221d4," $4,300,000 ",Deferred Developer Fee," $173,322 ",,,,,,,,,,,,,,,,,,04/18/19,04/18/19,05/30/20,08/29/20,i,2020
24,25,41,Logan,UT,84321,Family,Rehab-Around," 46,470 "," $5,253,595 "," $5,502,973 ",,3,Net Equity to Local," $4,797,332 ",1st Mortgage (OWHLF)," $640,000 ",Deferred Developer Fee," $65,641 ",,,,,,,,,,,,,,,,,,07/18/07,07/18/07,02/27/08,07/08/08,i,2008
25,26,15,Imperial Beach,CA,91932,Family,Rehab-Around,," $1,008,497 "," $4,121,822 ",,4,Net Equity," $1,012,997 ",1st Mortgage," $1,073,000 ",2nd Mortgage," $1,945,000 ",Deferred Developer Fee," $90,825 ",,,,,,,,,,,,,,,,08/25/08,08/01/08,01/01/09,12/30/08,i,2009
26,27,24,Garden City,UT,84028,Family,New," 30,672 "," $2,817,829 "," $3,640,325 ",,3,Net Equity to Local," $3,029,472 ",General Partner Loan," $475,825 ",Deferrd Developer Fee," $135,028 ",,,,,,,,,,,,,,,,,,12/30/08,06/01/09,01/27/10,05/10/10,i,2010
27,28,24,Tonopah,NV,89049,Family,Rehab-Around," 14,464 "," $4,277,572 "," $5,240,443 ",,4,Federal Tax Credit Equity ," $4,277,572 ",Hard Debt ," $293,681 ",Soft Debt ," $600,000 ",Deferred Developer Fee ," $69,190 ",,,,,,,,,,,,,,,,11/30/18,07/19/18,03/31/19,03/31/19,i,2019
28,29,34,New York,NY,10027,SRO,Gut Rehab,," $2,147,223 "," $6,228,927 ",,2,LIHTC Equity," $2,147,223 ",HPD Loan," $4,081,704 ",,,,,,,,,,,,,,,,,,,,06/24/09,09/28/09,11/30/11,12/27/11,i,2011
29,30,253,Baltimore,MD,21215,Elderly,Rehab-Around," 131,620 "," $10,487,635 "," $35,563,895 ",,5,Net Equity," $10,486,337 ",FHA 1st Mortgage," $14,300,000 ",Seller's Note," $8,620,000 ",Interim Income," $1,208,407 ",Deferred Fee," $949,151 ",,,,,,,,,,,,,,11/20/15,12/01/15,04/01/17,06/30/17,i,2017
30,31,144,Tampa,FL,33610,Family,New," 120,112 "," $7,065,868 "," $19,776,326 ",,6,Net Equity to Local," $6,831,871 ",Tax Exempt Bond," $8,000,000 ",SAIL Loan," $4,000,000 ",SAIL Interest," $153,000 ",Developer Note," $629,765 ",GIC Income," $161,690 ",,,,,,,,,,,,10/12/06,10/31/06,11/01/07,11/30/08,i,2007
31,32,34,Payette,ID,83661,Family,Rehab-Around," 29,304 "," $4,047,660 "," $5,089,508 ",,4,Federal Investor Net Equity ," $4,047,660 ",USDA 538," $500,000 ",USDA 515 assumed ," $522,878 ",Deferred Developer Fee," $18,970 ",,,,,,,,,,,,,,,,11/21/18,11/01/18,07/01/19,01/01/19,i,2019
32,33,81,New York,NY,10024,Family,Rehab-Around," 47,000 "," $5,195,189 "," $18,924,078 ",,9,LIHTC Equity," $5,205,221 ",NYC HDC Perm Loan," $5,820,000 ",HPD 2nd Loan," $2,750,000 ",Residual Receipts," $402,506 ",NYSERDA," $145,010 ",Recovery Notes," $560,577 ",Purchase Money Mortgage," $2,892,147 ",Interim Income," $320,000 ",Deferred Developer Fee," $828,617 ",,,,,,09/30/09,10/01/09,12/01/10,11/01/09,i,2010
33,34,68,Ely,NV,89049,Family,Rehab-Around,," $7,327,394 "," $10,419,760 ",,6,Federal Tax Cedit Equity," $7,327,394 ",Hard Debt USDA ," $1,645,283 ",Soft Debt - Nevada Housing (LIHTF)," $530,250 ",NRHA Loan," $140,000 ",Existing Reserves transferred ," $333,507 ",Deferred Developer Fee," $443,326 ",,,,,,,,,,,,04/30/19,06/21/19,08/10/20,08/30/20,i,2020
34,35,124,New York,NY,11206,Family,New," 121,799 "," $29,775,759 "," $54,041,182 ",,7,LIHTC Equity," $29,775,759 ",Taxable Mortgage," $4,286,300 ",NYC HPD Home Soft Loan," $8,660,839 ",HHAP Soft Loan," $3,000,000 ",FHLB Atlanta/NY," $2,980,930 ",Sponsor Loan," $2,313,382 ",Deferred Developer Fee," $3,023,972 ",,,,,,,,,,05/15/12,05/17/12,11/10/14,12/31/14,i,2014
35,36,160,Brooksville,FL,34601,Family,New," 155,720 "," $7,118,111 "," $18,803,749 ",,6,Net Equity to Local," $6,893,604 ",Tax Exempt Bond," $8,400,000 ",SAIL Loan," $2,900,000 ",SAIL Interest," $108,750 ",Deferred Development Fee," $274,173 ",GIC Income," $227,222 ",,,,,,,,,,,,06/15/06,07/10/06,08/31/07,10/31/08,i,2007
36,37,96,Charlottesville,VA,22903,Family,New,," $7,384,844 "," $21,645,474 ",,4,Net Equity ," $7,384,844 ",VHDA Tax Exempt ," $5,900,000 ",VDHA REACH ," $6,000,000 ",Def. Dev Fee ," $2,360,630 ",,,,,,,,,,,,,,,,04/26/18,04/26/18,02/28/20,06/30/20,i,2020
37,38,40,Brookings,SD,57006,Family,New," 62,992 "," $4,338,010 "," $6,097,719 ",,4,Federal Tax Credit Equity," $4,338,010 ",Citibank Permanent Mortgage," $1,061,633 ",SDHDA HOME Loan," $683,000 ",Deferred Developer Fee," $15,076 ",,,,,,,,,,,,,,,,11/26/12,09/01/12,09/30/13,11/30/13,i,2013
38,39,56,Brownstown ,IN,47220,Family,Rehab-Around," 50,932 "," $5,022,570 "," $8,649,216 ",,8,LIHTC Equity ," $4,989,570 ",RD 538 1st Mtg Loan ," $1,675,000 ",Def Dev Fee ," $116,700 ",MRM Loan Assumption ," $1,182,001 ",IHCDA Loan ," $507,722 ",RD Rate Lock Rebate ," $50,250 ",Exsisting Rep Reserves," $102,973 ",Belmont/GP Contribution ," $25,000 ",,,,,,,,03/14/18,03/14/18,01/25/19,03/29/19,i,2019
39,40,85,Lynchburg,VA,24502,Family,Rehab-Around," 78,304 "," $6,243,126 "," $11,875,997 ",,5,Net LIHTC Equity to Fund," $6,243,126 ",VHDA Taxable/REACH ," $4,000,000 ",Def Dev Fee," $534,438 ",Net Interim Income," $498,433 ",Seller Note," $600,000 ",,,,,,,,,,,,,,09/19/19,08/19/19,12/01/20,02/28/20,i,2020
40,41,34,Cameron,MO,64429,Elderly,New," 33,199 "," $4,204,165 "," $6,482,515 ",,6,Federal LIHTC," $4,204,165 ",MHDC Fund Balance," $875,000 ",MHDC HOME," $1,100,000 ",GP Loan," $70,000 ",GP Equity ," $150,200 ",Deferred Developer Fee ," $83,150 ",,,,,,,,,,,,09/27/19,08/01/19,09/01/20,09/30/20,i,2020
41,42,30,Carl Junction,MO,64834,Family,New," 42,675 "," $5,259,914 "," $5,893,983 ",,4,Federal LIHTC ," $5,259,914 ",MHDC Fund Balance," $528,000 ",GP Equity , $600 ,Deferred Developer Fee," $105,469 ",,,,,,,,,,,,,,,,10/03/19,10/03/19,08/01/20,08/01/20,i,2020
42,43,100,Staten Island,NY,10304,Family,Rehab-Around," 87,850 "," $6,683,612 "," $18,826,226 ",,6,Net Equity to Fund," $1,332,614 ",HDC 1st," $9,860,000 ",Reserve Note," $1,557,947 ",Purchase Money Mortgage," $5,279,682 ",Income From Operations," $510,089 ",Deferred Development Fee," $285,894 ",,,,,,,,,,,,06/26/13,08/01/13,10/01/14,10/09/14,i,2014
43,44,33,Los Angeles,CA,90057,Family,New," 29,045 "," $7,797,632 "," $13,104,425 ",,5,Net Equity to Fund," $7,797,632 ",CCRC ," $1,700,000 ","City of LA, HTF"," $2,387,880 ","City of LA, CRA"," $700,000 ",Deferred Dev Fee," $518,913 ",,,,,,,,,,,,,,12/20/06,11/20/06,10/16/08,10/31/08,i,2008
44,45,155,North Las Vegas,NV,89030,Family,Rehab-Around," 147,558 "," $9,958,900 "," $18,907,805 ",,5,Federal Tax Credit Equity," $9,958,900 ",Hard Debt," $3,451,000 ",Soft Debt," $5,124,947 ",Existing Reserves and Escrows," $165,827 ",Deferred Developer Fee," $207,131 ",,,,,,,,,,,,,,06/27/14,06/30/14,12/31/14,07/01/14,i,2014
45,46,135,Sacramento,CA,95834,Family,New," 140,670 "," $8,446,803 "," $29,825,117 ",,9,USA 72 LIHTC Equity," $8,010,873 ",MMA Financial Loan previously funded equity," $2,250,000 ",MMA Financial Loan debt forgiveness," $2,250,000 ",MMA Financial Permanent Loan," $4,981,000 ",Multi Family Housing Program," $8,532,615 ",Sacramento Housing and Redevelopment Agency," $1,093,000 ",PSCDC Loan (Master Developer)," $1,300,000 ",Deferred Construction Management Fees," $7,629 ",Deferred Developer Fee," $1,400,000 ",,,,,,07/14/09,12/01/07,01/02/09,04/01/09,i,2009
46,47,274,Waukegan ,IL,60085,Family,Rehab-Around,," $12,640,821 "," $45,923,372 ",,7,Federal Net Equity to Fund ," $12,640,821 ",Citi," $16,500,000 ",Seller's Note," $8,800,000 ",Accrued Interest - Sellers Note ," $830,000 ",GC Cap C on O & P Deferral ," $500,000 ",Funds from Operation ," $2,220,507 ",Deferred Developer Fee ," $4,432,044 ",,,,,,,,,,06/27/18,06/27/18,06/30/19,08/15/19,i,2019
47,48,95,Bronx,NY,10455,Family,New," 54,485 "," $12,247,630 "," $28,451,513 ",,6,Net Equity to Local," $12,129,010 ",HDC Private Activity Bond," $2,525,000 ",HDC Second Mortgage," $5,170,000 ",HHAP Loan," $4,500,000 ",HPD SHLP Loan," $750,000 ",Developer Loan," $3,377,503 ",,,,,,,,,,,,05/16/07,12/07/06,04/01/09,07/15/09,i,2009
48,49,115,Bronx,NY,10456,Family,New," 48,265 "," $7,593,807 "," $28,298,254 ",,4,Net Equity to Local Partnership," $7,611,807 ",HPD SHLP," $16,100,000 ",HHAP," $4,423,620 ",NYSERDA," $162,827 ",,,,,,,,,,,,,,,,12/04/08,02/23/09,10/07/10,01/31/13,i,2010
49,50,56,New Orleans,LA,70115,Family,New," 65,000 "," $11,518,729 "," $13,783,895 ",,4,Net Equity to Fund," $11,308,878 ",Valley Bank," $874,000 ",CDBG," $695,272 ",Deferred Developer Fee," $905,745 ",,,,,,,,,,,,,,,,10/09/07,10/01/07,06/17/09,10/31/09,i,2009
50,51,260,Tampa,FL,33610,Family,New,," $10,379,112 "," $27,632,575 ",,5,Net Equity to Local," $9,809,112 ",Tax Exempt Bond," $14,530,000 ",SAIL Loan," $3,000,000 ",SAIL Interest," $106,842 ",GIC Income," $186,621 ",,,,,,,,,,,,,,05/22/06,12/15/05,04/15/07,08/31/08,i,2007
51,52,84,Clearwater,FL,33764,Family,New," 85,632 "," $4,340,224 "," $12,296,383 ",,6,Net Equity to Local," $4,363,224 ",Tax Exempt Bond," $3,545,000 ",SAIL Loan," $3,000,000 ",GIC Income," $164,385 ",Dev Note," $1,133,890 ",SAIL Interest," $89,884 ",,,,,,,,,,,,06/28/07,06/28/07,06/01/08,08/31/08,i,2008
52,53,32,New York,NY,10001,SRO,Gut Rehab,," $3,711,145 "," $7,593,599 ",,2,Net Equity," $2,440,700 ",HPD," $5,152,899 ",,,,,,,,,,,,,,,,,,,,12/27/05,02/01/06,11/25/09,12/18/09,i,2009
53,54,91,New York,NY,10001,SRO,Gut Rehab," 52,595 "," $9,947,404 "," $20,073,413 ",,3,Net Equity to Local Partnership," $9,947,404 ",HPD," $8,485,502 ",Purchase Money Mortgage," $1,640,507 ",,,,,,,,,,,,,,,,,,11/27/07,11/27/07,12/23/11,12/28/11,i,2011
54,55,52,Comerio,PR,782,Family,New,," $4,094,952 "," $5,594,952 ",,2,Net Equity to Local," $4,094,952 ",1st Mortgage," $1,500,000 ",,,,,,,,,,,,,,,,,,,,12/24/03,12/20/04,12/20/05,09/30/06,i,2005
55,56,21,Deer Lodge,MT,59722,Family,New," 17,980 "," $4,267,326 "," $4,964,756 ",,4,Net Equity to Fund," $4,311,933 ",Glacier Bank," $425,000 ",HOME," $173,270 ",DDF," $54,553 ",,,,,,,,,,,,,,,,09/27/19,09/26/19,10/26/20,11/30/20,i,2020
